Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT04126265	Artificial Intelligence-assisted Colonoscopy for Detection of Colon Polyps		Recruiting	No Results Available	Artificial Intelligence|Colonoscopy			Device: Artificial intelligence assisted colonoscopy	Detection rate of small polyps (diameter < 6mm)|Number of polyps detected|Polyp size|Polyp morphology	Side Liu|Nanfang Hospital of Southern Medical University	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	560	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	NCT201908-K5-01	"September 1, 2019"	30-Apr-20	31-Aug-20	15-Oct-19		2-Jan-20	"Nanfang Hospital, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04126265
12	NCT03746561	Automatic Diagnosis of Spinal Stenosis on CT	ASSIST	Not yet recruiting	No Results Available	Spinal Stenosis			Diagnostic Test: deep learning	diagnostic accuracy of deep learning|Diagnostic Performance of deep learning	"Shanghai 10th People's Hospital|Brigham and Women's Hospital|Shanghai East Hospital|Shanghai Tongji Hospital, Tongji University School of Medicine"	All	"18 Years and older   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	SHSY181022	"November 1, 2018"	19-Apr	19-May	19-Nov-18		19-Nov-18			https://ClinicalTrials.gov/show/NCT03746561
13	NCT04213430	Development and Validation of a Deep Learning System for Multiple Ocular Fundus Diseases Using Retinal Images		Recruiting	No Results Available	Ophthalmological Disorder			Other: diagnostic	Area under the receiver operating characteristic curve of the deep learning system|Sensitivity of the deep learning system|Specificity of the deep learning system	Sun Yat-sen University	All	"Child, Adult, Older Adult"		300000	Other	Observational	Observational Model: Other|Time Perspective: Other	CCPMOH2019- China8	"January 1, 2014"	20-Feb	20-May	30-Dec-19		30-Dec-19	"Zhongshan Ophthalmic Center, Sun Yat-sen Univerisity, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04213430
14	NCT04087824	Deep Learning Algorithm for Recognition of Colonic Segments.		Not yet recruiting	No Results Available	Colonic Diseases			Device: AI assisted recognition of colonic segments	The accuracy of each colonic segment real-time recognition with deep learning algorithm.|The accuracy of total colonic segments recognition with deep learning algorithm as compared to endoscopic experts group.	Shandong University	All	"18 Years to 70 Years   (Adult, Older Adult)"	Not Applicable	60	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	2019SDU-QILU-G003	"September 15, 2019"	15-Nov-19	15-Dec-19	12-Sep-19		12-Sep-19			https://ClinicalTrials.gov/show/NCT04087824
15	NCT04186104	Artificial Intelligence in Children's Clinic		Not yet recruiting	No Results Available	Artificial Intelligence|Outpatient			Other: Routine diagnostic process|Other: Artificial intelligence assisted diagnosis process	Evaluate the efficiency of the two processes|Evaluate patients' rate of satisfaction for medical processes|Evaluate rate of single visit and rate of return visit|Economic measurements|Work efficiency of doctors|Evaluate the accuracy of examination items prescribed by the AI system and inexperienced physicians	Shanghai Jiao Tong University School of Medicine	All	"2 Months to 18 Years   (Child, Adult)"	Not Applicable	2000	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research	SCMCIRB-K2019020-2	"January 1, 2020"	30-Jun-20	31-Dec-20	4-Dec-19		26-Dec-19	"Shanghai Children's Medical Center, Shanghai Jiao Tong University School of Medicine, Shanghai, Shanghai, China"		https://ClinicalTrials.gov/show/NCT04186104
16	NCT03790930	Deep-learning Based Location of Spine CT	DETECT	Not yet recruiting	No Results Available	"Surgical Procedure, Unspecified"			Diagnostic Test: deep learning	prediction accuracy|segmentation accuracy	"Shanghai 10th People's Hospital|Shanghai East Hospital|Shanghai Tongji Hospital, Tongji University School of Medicine"	All	"18 Years to 65 Years   (Adult, Older Adult)"		500	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	SHSY180624	"December 1, 2018"	19-Jan	19-Jan	2-Jan-19		2-Jan-19			https://ClinicalTrials.gov/show/NCT03790930
17	NCT04022512	Accuracy of Deep-learning Algorithm for Detection and Risk Stratification of Lung Nodules		Recruiting	No Results Available	Osteogenic Sarcoma			Radiation: computed tomography	accuracy|sensitivity|specificity|area under curve (AUC)|average number of false positives per scan (FPs/scan)|competition performance metric (CPM)	Chinese University of Hong Kong|IBM China/Hong Kong Limited	All	"up to 18 Years   (Child, Adult)"		120	Other	Observational	Observational Model: Case-Only|Time Perspective: Retrospective	NTEC-2019-0445	"November 6, 2019"	22-Aug	23-Jan	17-Jul-19		7-Nov-19	"The Chinese University of Hong Kong, Prince of Wale Hospital, Hong Kong, Shatin, Hong Kong"		https://ClinicalTrials.gov/show/NCT04022512
18	NCT04260321	The AID Study 2: Artificial Intelligence for Colorectal Adenoma Detection 2		Not yet recruiting	No Results Available	Colon Cancer			Device: AI	Non-inferiority of AI-aided colonoscopy in terms of ADR	Istituto Clinico Humanitas	All	"40 Years to 80 Years   (Adult, Older Adult)"		700	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2363-2	"February 19, 2020"	31-Jul-20	31-Jul-20	7-Feb-20		7-Feb-20	"Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy"		https://ClinicalTrials.gov/show/NCT04260321
19	NCT04227795	AI-assisted Detection of Missed Colonic Polyps		Recruiting	No Results Available	Colon Adenoma|Colonic Polyp|Colon Cancer			Device: Artificial intelligence-Assisted real time colonoscopy	Adenoma miss rate|Total number of adenoma missed|Colonic polyp miss rate|Total number of missed polyps	The University of Hong Kong	All	"40 Years to 90 Years   (Adult, Older Adult)"	Not Applicable	50	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	UW 19-309	"January 1, 2020"	1-Feb-20	31-Mar-20	14-Jan-20		14-Jan-20	"Queen Mary Hospital, Hong Kong, Hong Kong"		https://ClinicalTrials.gov/show/NCT04227795
20	NCT02943824	Machine-learning Optimization for Prostate Brachytherapy Planning	MOPP	Completed	No Results Available	Prostatic Neoplasms			Other: Machine Learning Planning|Other: Radiation Therapist Planning	post-operative prostate V100%|Pre-operative planning time|Pre-operative dosimetry|Frequency & magnitude of plan modifications	Sunnybrook Health Sciences Centre	Male	"Child, Adult, Older Adult"	Not Applicable	42	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Other	1.1.1	"August 24, 2017"	24-Aug-18	4-Sep-18	25-Oct-16		6-Sep-18	"Sunnybrook Odette Cancer Centre, Toronto, Ontario, Canada"		https://ClinicalTrials.gov/show/NCT02943824
21	NCT03917017	The Evaluation of Surgical Decisions and Prognosis of the Radiomics and Watson Artificial Intelligence in Patients With Hepatocellular Carcinoma		Recruiting	No Results Available	Liver Resection			Device: Radiomics and Watson artificial intelligence	Postoperative survival|Disease-free survival	Zhujiang Hospital	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	100	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	201901	"January 1, 2019"	31-Dec-24	31-Dec-24	16-Apr-19		16-Apr-19	"Zhujiang Hospital of Southern Medical University, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT03917017
22	NCT04040114	Improving Skin Cancer Management With Artificial Intelligence (04.17 SMARTI)	SMARTI	Recruiting	No Results Available	Skin Cancer|Melanoma (Skin)			Device: Molemap Skin Cancer Triage Artificial Intelligence Device	"Diagnostic accuracy of the device when compared prospectively to a teledermatologist assesment|Diagnostic accuracy of the device when used prospectively as compared to a dermatologist assessment|Diagnostic accuracy of the device compared to teledermatologist, dermatologist and registrar using histopathology as 'gold standard' for any lesions biopsied.|Appropriate selection of lesions by registrar compared to specialist dermatologists|Appropriateness of management by registrar compared to specialist dermatologists and impact AI might have on this."	"Melanoma and Skin Cancer Trials Limited|Molemap Australia Pty Ltd|Monash University, Melbourne"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	200	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	4.17	"October 1, 2019"	20-Oct	20-Oct	31-Jul-19		2-Oct-19	"The Alfred- Victorian Melanoma Service, Melbourne, Victoria, Australia|Skin & Cancer Foundation Inc., Melbourne, Victoria, Australia"		https://ClinicalTrials.gov/show/NCT04040114
23	NCT04271657	RadioPathomics Artificial Intelligence Model to Predict nCRT Response in Locally Advanced Rectal Cancer	RPAI-pCR	Recruiting	No Results Available	Rectal Cancer				The prediction accuracy of the radiopathomics artificial intelligence model|The specificity of the radiopathomics artificial intelligence model|The sensitivity of the radiopathomics artificial intelligence model|The area under curve (AUC) of Receiver Operating Characteristic (ROC) curves of the radiopathomics artificial intelligence model	"Sixth Affiliated Hospital, Sun Yat-sen University|The Third Affiliated Hospital of Kunming Medical College.|Sir Run Run Shaw Hospital"	All	"18 Years to 75 Years   (Adult, Older Adult)"		100	Other	Observational	Observational Model: Other|Time Perspective: Prospective	RPAI-pCR2020	"January 10, 2020"	20-Jul	20-Dec	17-Feb-20		17-Feb-20	"the Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|The Third Affiliated Hospital of Kunming Medical College, Kunming, Yunnan, China|Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04271657
24	NCT04273451	RadioPathomics Artificial Intelligence Model to Predict Tumor Regression Grading in Locally Advanced Rectal Cancer	RPAI-TRG	Recruiting	No Results Available	Rectal Cancer				The prediction accuracy of the radiopathomics artificial intelligence model|The specificity of the radiopathomics artificial intelligence model|The sensitivity of the radiopathomics artificial intelligence model|The F1 score of the radiopathomics artificial intelligence model	"Sixth Affiliated Hospital, Sun Yat-sen University|The Third Affiliated Hospital of Kunming Medical College.|Sir Run Run Shaw Hospital"	All	"18 Years to 75 Years   (Adult, Older Adult)"		100	Other	Observational	Observational Model: Other|Time Perspective: Prospective	RPAI-TRG2020	"January 10, 2020"	20-Jul	20-Dec	18-Feb-20		18-Feb-20	"the Sixth Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China|The Third Affiliated Hospital of Kunming Medical College, Kunming, Yunnan, China|Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04273451
25	NCT03908645	Development and Validation of a Deep Learning Algorithm for Bowel Preparation Quality Scoring		"Active, not recruiting"	No Results Available	Bowel Preparation			Device: Artificial intelligence assisted bowel preparation quality scoring system|Device: Conventional human scoring	The rate of patients achieving adequate bowel preparation in each group.|Adenoma Detection Rate|Polyp Detection Rate	Shandong University	All	"18 Years to 70 Years   (Adult, Older Adult)"	Not Applicable	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Health Services Research	2019SDU-QILU-G001	"December 15, 2018"	15-Dec-19	15-Apr-20	9-Apr-19		9-Apr-19	"Qilu hosipital, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03908645
26	NCT04071678	A Randomized Controlled Multicenter Study of Artificial Intelligence Assisted Digestive Endoscopy		Recruiting	No Results Available	Artificial Intelligence			Behavioral: Careful examination during endoscopic procedures to identify lesions	Changes of detection rate of digestive tract lesions assisted by artificial intelligence gastroenteroscopy|The accuracy of AI-assisted diagnostic model evaluating the intestinal readiness score	"Second Affiliated Hospital, School of Medicine, Zhejiang University"	All	"18 Years and older   (Adult, Older Adult)"		3600	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	研2019-262	"August 1, 2019"	1-Aug-21	30-Dec-21	28-Aug-19		22-Oct-19	"Cai J Ting, Hangzhou, Zhejiang, China"		https://ClinicalTrials.gov/show/NCT04071678
27	NCT04268251	Evaluation of Cavernous Sinus Invasion by Pituitary Adenoma Using Deep Learning Based Denoising MR		Recruiting	No Results Available	Cavernous Sinus Invasion by Pituitary Adenoma			Diagnostic Test: MRI with deep learning based denoising|Diagnostic Test: Conventional MR	"Cavernous sinus invasion|Size of pituitary adenoma (in mm), laterality of pituitary adenoma (unilateral or bilateral) on the MRI|Margin of pituitary adenoma (well-delineated, poorly delineated) on the MRI"	Asan Medical Center	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	76	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Diagnostic"	AsanMCHSKim_06	"January 12, 2020"	28-Feb-21	28-Feb-21	13-Feb-20		13-Feb-20	"Asan Medical Center, Seoul, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT04268251
28	NCT04136236	Automatic Diagnosis of Early Esophageal Squamous Neoplasia Using pCLE With AI		Recruiting	No Results Available	Esophageal Neoplasms|Artificial Intelligence|Confocal Laser Endomicroscopy			Diagnostic Test: The diagnosis of Artificial Intelligence and endoscopist	The diagnosis efficiency of Artificial Intelligence|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists	Shandong University	All	"18 Years to 80 Years   (Adult, Older Adult)"		60	Other	Observational	Observational Model: Cohort|Time Perspective: Other	2019SDU-QILU-66	"August 1, 2019"	1-Dec-19	1-Dec-19	23-Oct-19		23-Oct-19	"Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT04136236
29	NCT04214782	Detection of Ovarian Cancer Using an Artificial Intelligence Enabled Transvaginal Ultrasound Imaging Algorithm		Not yet recruiting	No Results Available	Ovarian Cancer			Diagnostic Test: Artificial Intelligence Enabled Transvaginal Ultrasound Imaging algorithm	diagnostic accuracy|time cost for Transvaginal Ultrasound image interpretation	"Tongji Hospital|Hubei Cancer Hospital|Qilu Hospital of Shandong University|Henan Cancer Hospital|Xiangyang Central Hospital|The First People's Hospital of Jingzhou|First Affiliated Hospital, Sun Yat-Sen University"	Female	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	10000	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Diagnostic"	2019-TJ-OVAB	"January 1, 2020"	1-Jan-22	1-Jan-24	2-Jan-20		2-Jan-20			https://ClinicalTrials.gov/show/NCT04214782
30	NCT04255615	Use of Artificial Intelligence for Clinical Assessment of Assisted Reproductive Techniques and IVF Outcomes	AI in ART	Recruiting	No Results Available	Infertility|in Vitro Fertilization (IVF)|ART			Other: AI to analyze 3 D ultrasound	Number of baseline antral follicle count|Number of retrieved oocytes|Number of mature oocytes|Number of multiple gestation|Number of clinical intrauterine pregnancies IVF|Number of clinical intrauterine pregnancies OI	Weill Medical College of Cornell University	All	18 Years to 48 Years   (Adult)	Not Applicable	2000	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other	19-06020306	"February 12, 2020"	31-Jan-22	31-Jan-23	5-Feb-20		17-Feb-20	"Weill Cornell Medicine, New York, New York, United States"		https://ClinicalTrials.gov/show/NCT04255615
31	NCT03980470	Deep-Learning Image Reconstruction in CCTA		Recruiting	No Results Available	Coronary Artery Disease		Cardiovascular	Device: TrueFidelity	"Subjective image quality as measured by Likert scale from 1 to 5, change from experimental interventional to the control intervention|Signal intensity as average hounsfield units within a region of interest in the aortic root, change from experimental interventional to the control intervention|Image noise as standard deviation of hounsfield units within a region of interest in the aortic root, change from experimental interventional to the control intervention|Signal-to-noise ratio and contrast-to-noise ratio, change from experimental interventional to the control intervention|Comparison of dose-length products and radiation exposure in mSv|Subjective analysis of plaque composition (calcified plaque, non-calcified plaque, mixed plaque) and lesion severity (below 50%, 50-70%, over 70%)"	University of Zurich	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	50	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic	USZ-2019-00533	"May 3, 2019"	30-Jun-19	30-Sep-19	10-Jun-19		10-Jun-19	"University Hospital, Zurich, Switzerland"		https://ClinicalTrials.gov/show/NCT03980470
32	NCT03700268	Programming Cochlear Implant With Artificial Intelligence	CI_AI	Recruiting	No Results Available	Deafness; Perception			Other: Manual intervention to programme Cochlear Implant electrodes	Evaluate Fox software efficiency	Cliniques universitaires Saint-Luc- Université Catholique de Louvain	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	30	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	2017/04SEP/427|2017/13OCT/480	"September 4, 2017"	20-Sep	21-Sep	9-Oct-18		9-Oct-18	"Cliniques Universitaires Saint-Luc, Brussels, Belgium"		https://ClinicalTrials.gov/show/NCT03700268
33	NCT04079478	The AID Study: Artificial Intelligence for Colorectal Adenoma Detection	AID	Completed	No Results Available	Colon Cancer			Other: AI	Additional diagnostic yield obtained by AI-aided colonoscopy to the yield obtained by the Standard (high-definition) colonoscopy	Istituto Clinico Humanitas	All	"40 Years to 80 Years   (Adult, Older Adult)"		700	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	2363	"September 25, 2019"	31-Dec-19	31-Dec-19	6-Sep-19		12-Feb-20	"Endoscopy Unit, Humanitas Research Hospital, Rozzano, Milano, Italy"		https://ClinicalTrials.gov/show/NCT04079478
34	NCT04203264	Real-Time Identification System of Magnetically Controlled Capsule Endoscopy Using Artificial Intelligence		Recruiting	No Results Available	Capsule Endoscopy			Diagnostic Test: Real-time artificial intelligence identification system	Sensitivity|Delay time|Specificity|Accuracy of anatomic landmarks identification|Completeness of real-time observation with assistance|Accuracy of heat map|Lesion detection yield	Changhai Hospital	All	"18 Years to 80 Years   (Adult, Older Adult)"		50	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	20190411A	"December 16, 2019"	1-Jan-20	1-Jan-20	18-Dec-19		18-Dec-19	"Changhai Hospital, Shanghai, China"		https://ClinicalTrials.gov/show/NCT04203264
35	NCT04215211	MR Based Survival Prediction of Glioma Patients Using Artificial Intelligence		Recruiting	No Results Available	Glioma			Diagnostic Test: Survival prediction for glioma patients	AUC of survival prediction performance	The First Affiliated Hospital of Zhengzhou University|Sun Yat-sen University	All	"1 Year to 90 Years   (Child, Adult, Older Adult)"		2500	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	GliomaAI-2	"January 1, 2017"	1-Jan-27	1-Jun-27	2-Jan-20		3-Jan-20	"Department of Neurosurgery, First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"		https://ClinicalTrials.gov/show/NCT04215211
